Start Year,Country,Start Month,Disaster Subtype,COUNT
2006,Iraq,2,Riverine flood,1
2006,Iraq,11,Flash flood,1
2006,Japan,1,Storm (General),1
2006,Japan,6,Riverine flood,1
2006,Japan,7,Riverine flood,1
2006,Japan,9,Tropical cyclone,1
2006,Japan,11,Tornado,1
2006,Kyrgyzstan,1,Storm (General),1
2006,Kyrgyzstan,12,Ground movement,1
2006,Malaysia,1,Riverine flood,1
2006,Malaysia,2,Riverine flood,1
2006,Malaysia,4,Riverine flood,1
2006,Malaysia,12,Flash flood,1
2006,Myanmar,4,Tropical cyclone,1
2006,Myanmar,9,Riverine flood,1
2006,Nepal,6,Riverine flood,1
2006,Nepal,7,Drought,1
2006,Nepal,8,Landslide (wet),2
2006,Pakistan,5,Heat wave,1
2006,Pakistan,7,Landslide (wet),1
2006,Pakistan,7,Riverine flood,3
2006,Pakistan,8,Flash flood,1
2006,Pakistan,8,Riverine flood,2
2006,Pakistan,12,Flood (General),1
2006,Philippines,1,Flash flood,1
2006,Philippines,2,Landslide (wet),2
2006,Philippines,3,Flash flood,1
2006,Philippines,5,Tropical cyclone,1
2006,Philippines,6,Tropical cyclone,1
2006,Philippines,7,Tropical cyclone,2
2006,Philippines,8,Ash fall,1
2006,Philippines,8,Avalanche (wet),1
2006,Philippines,8,Flood (General),1
2006,Philippines,8,Tropical cyclone,1
2006,Philippines,9,Tropical cyclone,1
2006,Philippines,10,Riverine flood,2
2006,Philippines,10,Tropical cyclone,1
2006,Philippines,11,Tropical cyclone,2
2006,Philippines,12,Riverine flood,1
2006,Philippines,12,Tropical cyclone,1
2006,Republic of Korea,7,Flash flood,1
2006,Sri Lanka,10,Riverine flood,1
2006,Syrian Arab Republic,10,Riverine flood,1
2006,Taiwan (Province of China),6,Riverine flood,1
2006,Taiwan (Province of China),7,Tropical cyclone,2
2006,Taiwan (Province of China),12,Ground movement,1
2006,Tajikistan,1,Avalanche (wet),1
2006,Tajikistan,4,Mudslide,1
2006,Tajikistan,7,Ground movement,1
2006,Thailand,2,Riverine flood,1
2006,Thailand,5,Flash flood,1
