Start Year,Country,province,Disaster Subtype,COUNT
2017,Iran (Islamic Republic of),North Khorasan,ground movement,1
2017,Thailand,Ranong,riverine flood,1
2017,Thailand,Ubon Ratchathani,flood (general),1
2018,China,Shandong,tropical cyclone,1
2018,China,and Zhejiang,tropical cyclone,1
2018,Democratic People's Republic of Korea,South Hamgyong,tropical cyclone,1
2018,Iran (Islamic Republic of),Yazd,flash flood,1
2018,Philippines,Albay,lava flow,1
2018,Philippines,Mountain,tropical cyclone,1
2018,Viet Nam,Bac Giang,tropical cyclone,1
2019,China,Chongqing,flood (general),1
2019,Viet Nam,Ha Tinh and Lao Cai,flood (general),1
2020,China,Fujian,flood (general),1
2020,Indonesia,North Sulawesi,flash flood,1
2020,Indonesia,northern Sulawesi,flash flood,1
